element,result
1,-6.387598323170096
2,3.4750320196617395
3,3.0332424752414227
4,2.3714857567101717
5,-2.8352909826207906
6,4.339219222543761
7,5.607679313747212
8,-5.302242256933823
9,2.433177887927741
10,1.698767705122009
11,2.881311218487099
12,0.14206656976602972
13,0.007699528010562062
14,-3.5009653179440647
15,4.421488866675645
16,9.534340744139627
17,1.0432377920951694
18,6.194000266259536
19,1.6131006581708789
20,3.694538626819849
21,-2.3159936172887683
22,4.3940524822101
23,0.12902767769992352
24,4.055924961576238
25,-6.057554115075618
26,-7.61524741537869
27,-1.0039982798043638
28,-1.1411614809185266
29,3.939241368090734
30,3.523306464543566
31,-3.876580832991749
32,-6.43729126220569
33,-11.965221700491384
34,4.315929341362789
35,-2.9951693187467754
36,-0.4165417947806418
37,1.2683101112488657
38,-5.802200193051249
39,1.5081329925451428
40,0.7707873650360852
41,-2.13684320054017
42,4.602404623059556
43,0.5467230712529272
44,1.571056617423892
45,-6.3396686099004
46,6.204688449390233
47,0.21851839101873338
48,-5.654495777795091
49,2.4365312086883932
50,2.5638615989591926
51,-0.7115443672519177
52,-2.234381736954674
53,3.2855650964193046
54,-10.974566912744194
55,-1.6762375750113279
56,-7.2752794397529215
57,3.8325220542028546
58,-0.6933058253489435
59,6.379913558717817
60,6.539002323290333
61,5.329997016349807
62,-2.461140137631446
63,7.199502111645415
64,-3.6174991643056273
65,0.3622783001046628
66,-2.032140163704753
67,1.9868785357102752
68,-1.5717736927326769
69,-6.439870359143242
70,-0.3991006969008595
71,8.531594419619069
72,-4.416946084005758
73,1.7080672173760831
74,2.700418879510835
75,-4.415404841070995
76,-1.1363882815930992
77,-4.6156610732432455
78,-2.4788453278597444
79,-6.694770528236404
80,3.902961275773123
81,0.8526317907962948
82,-2.759899484924972
83,-6.870538361603394
84,-3.549483795883134
85,0.042255427688360214
86,-2.58021971443668
87,0.32597228954546154
88,4.244546698872
89,1.5686836547683924
90,4.505247455788776
91,3.747254613088444
92,-6.814807900460437
93,-1.118173346389085
94,3.7478879392147064
95,0.8735638184007257
96,0.6409531990066171
97,1.6340761811006814
98,-3.4358277914579958
99,0.0527425913605839
100,-3.171810541069135
101,0.992897214833647
102,-2.115531260613352
103,5.594363376032561
104,-6.36032725754194
105,-5.273590039461851
106,-1.7898948362562805
107,-0.6631698235869408
108,-1.72207082179375
109,-7.10617375257425
110,-1.8499458651058376
111,5.751788405468687
112,-3.815479287877679
113,0.17455431632697582
114,1.9547697938978672
115,-1.230848028557375
116,6.317397018196061
117,-0.9293644805438817
118,-0.1587902179453522
119,4.955707961693406
120,-7.630176333477721
121,3.263413365930319
122,8.788006101967767
123,6.165113728027791
124,-6.506836201064289
125,5.844309427542612
126,-0.6709898570552468
127,-11.855228730710223
128,-5.852028644643724
129,-0.3191469921730459
130,-0.8628766098991036
131,5.710901984013617
132,-3.9419422594364733
133,-0.0327318178024143
134,1.053249113727361
135,-2.3376142701599747
136,2.7526084270793945
137,0.3969641977455467
138,2.243576457723975
139,-0.7480679955333471
140,2.023275927407667
141,-1.2249098413158208
142,-6.991545631550252
143,-2.069729697657749
144,-0.29116106568835676
145,1.1360346917062998
146,-1.8271600739099085
147,-1.257196718128398
148,0.0526276717428118
149,1.9288824927061796
150,2.7501578631345183
